DB;Cultivar;GY_Kg_H_;Year;LON;LAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;732;2012;-15.84;13.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;251;2013;-15.84;13.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;2043;2012;-14.95;12.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1206;2013;-14.95;12.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1484;2014;-14.95;12.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1313;2014;-14.95;12.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1518;2012;-15.59;12.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;4123;2013;-15.59;12.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;2744;2013;-15.59;12.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1561;2013;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;2006;2013;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;185;2013;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;135.2;2014;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;789.9;2014;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB1;N4;1329;2014;-13.91;13.83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;3150;2022;-14.24;13.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;3100;2021;-13.97;14.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2050;2021;-14.4;13.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2068.627451;2021;-14.24;13.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2083.333333;2021;-13.96;13.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;1500;2021;-14.25;14.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2500;2021;-14.56;13.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2100;2021;-14.58;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2600;2021;-14.57;14.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2300;2021;-14.58;14.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2000;2021;-14.38;14.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;3500;2021;-14.42;14.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;3000;2021;-14.61;14.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2000;2021;-14.32;14.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;2000;2021;-12.24;14.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;221.544;2017;-15.97;12.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;1013.128;2017;-15.85;12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;1009.89;2017;-15.93;12.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;445;2017;-15.82;12.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;183.5;2017;-15.8;12.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB2;N4;377;2017;-15.81;12.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;3362;2015;-15.788;13.758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;400;2015;-15.449;13.928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;1000;2015;-16.3;13.902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;1100;2015;-14.859;14.196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;100;2015;-15.178;14.252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;370;2016;-16.462;13.837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;700;2016;-15.875;13.781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DB3;N4;430;2016;-16.576;14.077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
